제목	본문	TEXT	감성점수	lama 3.1 감성 분석
서울 오피스텔 가격 두달 연속 올랐다...금리 인하 기대감	올해 3분기 2년만에 상승전환 서울 오피스텔 매매가격이 두 달 연속 오른 것으로 나타났다. 서울 아파트값이 29주 연속 오르자 대체재로 꼽히는 오피스텔 가격도 상승 전환한 것으로 풀이된다. 한국은행이 최근 약 3년	서울 오피스텔 가격 두달 연속 올랐다...금리 인하 기대감 올해 3분기 2년만에 상승전환 서울 오피스텔 매매가격이 두 달 연속 오른 것으로 나타났다. 서울 아파트값이 29주 연속 오르자 대체재로 꼽히는 오피스텔 가격도 상승 전환한 것으로 풀이된다. 한국은행이 최근 약 3년	1	긍정
포스코-무신사 '1100억' 오피스 딜 불발… 운용사에 매각	포스코이앤씨가 시공한 서울 성동구 주상복합 '서울숲 더샵'의 상업시설이 대형 바이오업체의 오피스가 될 예정이다. 해당 시설은 국내 패션 플랫폼 무신사의 본사 이전을 위한 인수 작업이 추진됐다가 철회된 후 부동산 자산	포스코-무신사 '1100억' 오피스 딜 불발… 운용사에 매각 포스코이앤씨가 시공한 서울 성동구 주상복합 '서울숲 더샵'의 상업시설이 대형 바이오업체의 오피스가 될 예정이다. 해당 시설은 국내 패션 플랫폼 무신사의 본사 이전을 위한 인수 작업이 추진됐다가 철회된 후 부동산 자산	0	중립입니다.
"""합하면 7000가구""…성동구 대단지도 리모델링 안간힘"	서울 일부 리모델링 사업이 활기를 보이고 있다. 특히 성동구에서는 2000가구가 넘는 대단지 아파트 여러 곳이 리모델링 사업에 뛰어들었다. 용적률이 높아 재건축 사업성을 기대하기 어려운 단지들로 주민 동의율 확보에	"""합하면 7000가구""…성동구 대단지도 리모델링 안간힘 서울 일부 리모델링 사업이 활기를 보이고 있다. 특히 성동구에서는 2000가구가 넘는 대단지 아파트 여러 곳이 리모델링 사업에 뛰어들었다. 용적률이 높아 재건축 사업성을 기대하기 어려운 단지들로 주민 동의율 확보에"	2	긍정입니다.
‘오픈 관심 폭발’ 벌써부터 난리난 ‘힐스테이트 오산더클래스’	- 1호선, GTX-C노선(예정), 동탄트램(예정) 트리플 교통망 갖춘 ‘알짜’ 입지 선점 - 도보 학세권에 공세권, 1군 브랜드 타운의 중심 단지로 뛰어난 주거 가치 자랑 최근 가을 날씨가 찾아온 것과 달리 지하철	‘오픈 관심 폭발’ 벌써부터 난리난 ‘힐스테이트 오산더클래스’ - 1호선, GTX-C노선(예정), 동탄트램(예정) 트리플 교통망 갖춘 ‘알짜’ 입지 선점 - 도보 학세권에 공세권, 1군 브랜드 타운의 중심 단지로 뛰어난 주거 가치 자랑 최근 가을 날씨가 찾아온 것과 달리 지하철	4	긍정입니다.
국내 1호 '수직증축' 리모델링 사업 막바지…도심 주택 공급 속도 낼까	공사비 인상 등으로 서울 도심 신규 주택 공급이 차질을 빚으면서 공동주택 리모델링이 대안으로 떠오르고 있다. 이런 가운데 국내 최초 '수직증축' 리모델링 단지인 송파성지아파트(잠실더샵루벤)가 막바지 공사에 접어들면서	국내 1호 '수직증축' 리모델링 사업 막바지…도심 주택 공급 속도 낼까 공사비 인상 등으로 서울 도심 신규 주택 공급이 차질을 빚으면서 공동주택 리모델링이 대안으로 떠오르고 있다. 이런 가운데 국내 최초 '수직증축' 리모델링 단지인 송파성지아파트(잠실더샵루벤)가 막바지 공사에 접어들면서	-3	긍정
최근 아파트·오피스텔 하자 판정 많았던 건설사가 한 ‘해명’	최근 6개월간 아파트·오피스텔 하자가 가장 많았던 건설사는 현대엔지니어링이었다. 국토교통부는 공동주택 하자 판정 건수 및 비율과 하자 상위 20개 건설사 명단을 15일 공개했다. 지난해 하반기부터 6개월마다 하자가	최근 아파트·오피스텔 하자 판정 많았던 건설사가 한 ‘해명’ 최근 6개월간 아파트·오피스텔 하자가 가장 많았던 건설사는 현대엔지니어링이었다. 국토교통부는 공동주택 하자 판정 건수 및 비율과 하자 상위 20개 건설사 명단을 15일 공개했다. 지난해 하반기부터 6개월마다 하자가	-8	중립
‘하늘의 별 따기’된 강남 청약…올해 경쟁률 282.8대 1	서울 강남권 청약 경쟁이 ‘하늘의 별 따기’ 수준으로 어려워지고 있다. 청약 경쟁률과 당첨 커트라인이 동반 상승하면서 강남 입성을 꿈꾸는 수요자 발등에도 불이 떨어진 모습이다. 16일 한국부동산원 청약홈 자료를 보면	‘하늘의 별 따기’된 강남 청약…올해 경쟁률 282.8대 1 서울 강남권 청약 경쟁이 ‘하늘의 별 따기’ 수준으로 어려워지고 있다. 청약 경쟁률과 당첨 커트라인이 동반 상승하면서 강남 입성을 꿈꾸는 수요자 발등에도 불이 떨어진 모습이다. 16일 한국부동산원 청약홈 자료를 보면	-2	긍정
“이래선 당첨돼도 걱정”…서울 아파트 평당 4424만원, 분양가 또 역대최고	HUG, 서울·전국아파트 분양가 발표 공사비·인건비 등 상승 영향 분양을 통해 내 집 마련을 하려는 수요자들의 부담이 갈수록 커지는 모양새다. 공사비, 인건비 등 상승 영파로 서울과 전국의 민간 아파트 분양가 모두	“이래선 당첨돼도 걱정”…서울 아파트 평당 4424만원, 분양가 또 역대최고 HUG, 서울·전국아파트 분양가 발표 공사비·인건비 등 상승 영향 분양을 통해 내 집 마련을 하려는 수요자들의 부담이 갈수록 커지는 모양새다. 공사비, 인건비 등 상승 영파로 서울과 전국의 민간 아파트 분양가 모두	-9	부정입니다.
서울 아파트 분양가 또 최고치 경신... 3.3㎡당 4000만 원 시대	서울 민간 아파트 분양가가 최고치를 또 경신했다. 지난달 기준으로 3.3㎡당 4,500만 원에 육박한 상황이다. 강남권 아파트가 잇달아 분양된 영향을 감안하더라도 이제는 3.3㎡당 4,000만 원이 새 표준으로 자리	서울 아파트 분양가 또 최고치 경신... 3.3㎡당 4000만 원 시대 서울 민간 아파트 분양가가 최고치를 또 경신했다. 지난달 기준으로 3.3㎡당 4,500만 원에 육박한 상황이다. 강남권 아파트가 잇달아 분양된 영향을 감안하더라도 이제는 3.3㎡당 4,000만 원이 새 표준으로 자리	4	긍정
해외 수주 '빨간불'… 54조 목표 절반 달성	올해 3분기가 지나갔지만 국내 건설업체들의 해외건설 수주액은 정부 목표인 400억달러(한화 약 54조원)의 절반 수준에 그치는 수준이다. 업계에서는 올해 목표 달성이 사실상 어려울 것이라고 전망한다. 15일 해외건설	해외 수주 '빨간불'… 54조 목표 절반 달성 올해 3분기가 지나갔지만 국내 건설업체들의 해외건설 수주액은 정부 목표인 400억달러(한화 약 54조원)의 절반 수준에 그치는 수준이다. 업계에서는 올해 목표 달성이 사실상 어려울 것이라고 전망한다. 15일 해외건설	-12	부정
전기버스 절반은 중국산인데…배터리 안전검사 '비동의'	국내 시장의 절반을 차지하고 있는 중국산 전기 버스의 배터리 검사가 업체 측의 자료 제공 비협조로 인해 현재 불가능한 것으로 밝혀졌다. 중국 업체들이 전기차 배터리 검사에 필요한 배터리 관리 시스템에 대한 정보 제공	전기버스 절반은 중국산인데…배터리 안전검사 '비동의' 국내 시장의 절반을 차지하고 있는 중국산 전기 버스의 배터리 검사가 업체 측의 자료 제공 비협조로 인해 현재 불가능한 것으로 밝혀졌다. 중국 업체들이 전기차 배터리 검사에 필요한 배터리 관리 시스템에 대한 정보 제공	1	부정입니다.
임대아파트 더 늘리겠습니다…사당동 재건축의 변심 왜?[부동산360]	사당역과 낙성대역 사이 빌라밀집 지역을 정비하는 사당5구역이 정비구역 변경을 통해 층수 상향을 노린다. 용적률을 늘리고 기존 최고 12층이던 높이계획을 20층까지 올리는 대신 임대주택 숫자를 늘리겠다는 계획이다. 1	임대아파트 더 늘리겠습니다…사당동 재건축의 변심 왜?[부동산360] 사당역과 낙성대역 사이 빌라밀집 지역을 정비하는 사당5구역이 정비구역 변경을 통해 층수 상향을 노린다. 용적률을 늘리고 기존 최고 12층이던 높이계획을 20층까지 올리는 대신 임대주택 숫자를 늘리겠다는 계획이다. 1	1	긍정
입주 32년된 아파트도 15억 넘겼다 가격 뛰는 평촌에서 ‘아크로 베스티뉴’ 공급	-과천發 집값 상승세에 평촌신도시 아파트 신고가 속출…입주 32년된 목련1단지 15억3000만원 -지역 최초로 선보이는 하이엔드 랜드마크 ‘아크로 베스티뉴’ 10월 공급 소식에 상승세 유지 전망 최근 서울 주요 지역	입주 32년된 아파트도 15억 넘겼다 가격 뛰는 평촌에서 ‘아크로 베스티뉴’ 공급 -과천發 집값 상승세에 평촌신도시 아파트 신고가 속출…입주 32년된 목련1단지 15억3000만원 -지역 최초로 선보이는 하이엔드 랜드마크 ‘아크로 베스티뉴’ 10월 공급 소식에 상승세 유지 전망 최근 서울 주요 지역	1	긍정입니다.
'한강변 알짜' 수방사에 2만5천명 몰렸다...일반공급 경쟁률 1148대 1	한국토지주택공사가(LH) 서울 동작구 한강변 알짜부지인 수도방위사령부( 조감도)에 공급하는 공공분양주택의 일반공급 본청약에 2만5000명 이상이 몰렸다. 15일 LH에 따르면 이날 수방사 부지 공공분양 일반공급 본청	'한강변 알짜' 수방사에 2만5천명 몰렸다...일반공급 경쟁률 1148대 1 한국토지주택공사가(LH) 서울 동작구 한강변 알짜부지인 수도방위사령부( 조감도)에 공급하는 공공분양주택의 일반공급 본청약에 2만5000명 이상이 몰렸다. 15일 LH에 따르면 이날 수방사 부지 공공분양 일반공급 본청	0	긍정입니다.
월급 모아서는 도저히 못산다…서울 분양가 평당 4424만원[부동산360]	서울 민간아파트 분양가가 한달 만에 다시 상승세로 전환하며 역대 최고치를 기록했다. 15일 주택도시보증공사(HUG)가 발표한 9월 말 기준 ‘민간아파트 분양가격 동향’에 따르면, 9월 말 기준 최근 1년간 서울 아파	월급 모아서는 도저히 못산다…서울 분양가 평당 4424만원[부동산360] 서울 민간아파트 분양가가 한달 만에 다시 상승세로 전환하며 역대 최고치를 기록했다. 15일 주택도시보증공사(HUG)가 발표한 9월 말 기준 ‘민간아파트 분양가격 동향’에 따르면, 9월 말 기준 최근 1년간 서울 아파	-2	부정
‘내 집 마련’ MZ세대 ‘넘사벽’ 존재감…직주근접 뛰어난 입지 ‘강세’	부동산 시장 참여 ‘활발’ MZ세대…주택시장 ‘핵심 수요층’ 자리매김 청약 당첨자 비중 역시 높아져…40대 2배 수준 MZ세대가 최근 국내 부동산 시장에서 '핵심 수요층'으로 자리매김하면서, 일과 삶의 균형을 갖춘	‘내 집 마련’ MZ세대 ‘넘사벽’ 존재감…직주근접 뛰어난 입지 ‘강세’ 부동산 시장 참여 ‘활발’ MZ세대…주택시장 ‘핵심 수요층’ 자리매김 청약 당첨자 비중 역시 높아져…40대 2배 수준 MZ세대가 최근 국내 부동산 시장에서 '핵심 수요층'으로 자리매김하면서, 일과 삶의 균형을 갖춘	6	긍정입니다.
HUG 대신 갚고 못 받은 돈 9.6조…올해만 3.5조 늘어	주택도시보증공사(HUG)가 보증보험으로 대신 갚고 돌려받지 못한 '채권잔액'이 올해 8월 기준 9조5869억원에 달하는 것으로 나타났다. 2019년(6815억원)과 비교하면 약 1300% 이상 폭증한 수치다. 15일	HUG 대신 갚고 못 받은 돈 9.6조…올해만 3.5조 늘어 주택도시보증공사(HUG)가 보증보험으로 대신 갚고 돌려받지 못한 '채권잔액'이 올해 8월 기준 9조5869억원에 달하는 것으로 나타났다. 2019년(6815억원)과 비교하면 약 1300% 이상 폭증한 수치다. 15일	-3	부정
"한달 뒤 민간 집값 통계 따라간 정부 ""늦은 통계 아냐"""	지난달 서울을 비롯한 수도권 아파트 매매 가격이 역대급으로 올랐다고 정부에서 발표했지만 민간에서는 아파트 가격이 하락했다는 정반대의 통계가 나와 논란이 된 가운데 결국 한달이 지나 정부에서도 집값 상승세가 꺾인 것으	"한달 뒤 민간 집값 통계 따라간 정부 ""늦은 통계 아냐"" 지난달 서울을 비롯한 수도권 아파트 매매 가격이 역대급으로 올랐다고 정부에서 발표했지만 민간에서는 아파트 가격이 하락했다는 정반대의 통계가 나와 논란이 된 가운데 결국 한달이 지나 정부에서도 집값 상승세가 꺾인 것으"	2	긍정입니다.
전응식 대원 대표, 제주 주상복합단지 부실시공 관련 국감 소환	국토위, 오순문 제주 서귀포시장 증인 출석 요구 수분양자 “새 아파트가 C등급… 계약 해지‧계약금 몰취당해” 충청북도 지역 1위 건설사인 대원의 전응식 대표가 올해 국토교통위원회 국정감사에 증인으로 소환	전응식 대원 대표, 제주 주상복합단지 부실시공 관련 국감 소환 국토위, 오순문 제주 서귀포시장 증인 출석 요구 수분양자 “새 아파트가 C등급… 계약 해지‧계약금 몰취당해” 충청북도 지역 1위 건설사인 대원의 전응식 대표가 올해 국토교통위원회 국정감사에 증인으로 소환	-6	긍정입니다.
3분기 서울 오피스텔 매매·전셋값 상승 전환…월세 상승폭 커져	"집값 상승 여파…역세권 중심 수요 늘고 가격 회복"" 경기·인천·지방은 매매·전세 하락세 지속 올해 3분기 서울 지역 오피스텔 매매가격과 전셋값이 상승 전환했다. 주거용 부동산 수요가 증가하고 집값이 오르면서 역세권"	"3분기 서울 오피스텔 매매·전셋값 상승 전환…월세 상승폭 커져 집값 상승 여파…역세권 중심 수요 늘고 가격 회복"" 경기·인천·지방은 매매·전세 하락세 지속 올해 3분기 서울 지역 오피스텔 매매가격과 전셋값이 상승 전환했다. 주거용 부동산 수요가 증가하고 집값이 오르면서 역세권"	0	긍정입니다.
시장 불변의 진리 “지금 분양가가 제일 싸다”… 의정부 롯데캐슬 나리벡시티 계약 순항 예고	-수도권 올해 10월 3.3㎡당 2348만원으로 전년 대비 15.4% 상승 -제로에너지 건축물 인증 의무화 등으로 건축비 지속 상승 예상 수도권 아파트 분양가가 역대 최고치를 기록하며 가파르게 상승중인 것으로 나타났	시장 불변의 진리 “지금 분양가가 제일 싸다”… 의정부 롯데캐슬 나리벡시티 계약 순항 예고 -수도권 올해 10월 3.3㎡당 2348만원으로 전년 대비 15.4% 상승 -제로에너지 건축물 인증 의무화 등으로 건축비 지속 상승 예상 수도권 아파트 분양가가 역대 최고치를 기록하며 가파르게 상승중인 것으로 나타났	1	부정
수도권 부동산 가격 상승 기대감↑…한은 “수도권 집값, 완만하게 상승할 것”	9월 수도권 아파트 입주율 4%p 상승 수도권 아파트 입주전망지수 16.4p 상승 10월 아파트 입주전망지수. 사진=주택산업연구원 제공. 한국은행의 4년 5개월 만의 기준금리 인하 여파 등으로 수도권 부동산 가격 상	수도권 부동산 가격 상승 기대감↑…한은 “수도권 집값, 완만하게 상승할 것” 9월 수도권 아파트 입주율 4%p 상승 수도권 아파트 입주전망지수 16.4p 상승 10월 아파트 입주전망지수. 사진=주택산업연구원 제공. 한국은행의 4년 5개월 만의 기준금리 인하 여파 등으로 수도권 부동산 가격 상	-5	긍정
잠실 마이스·영동대로 지하화…굵직한 개발사업까지 '쏠림' 심화	각종 개발사업의 쏠림 현상은 강남권으로의 인구 집중 현상을 심화하는 데 일조하고 있다. 현재 서울시가 주도하고 있는 ‘잠실 스포츠·마이스(MICE) 복합 공간 조성 민간투자사업’에서부터 ‘영동대로 지하 공간 복합개발	잠실 마이스·영동대로 지하화…굵직한 개발사업까지 '쏠림' 심화 각종 개발사업의 쏠림 현상은 강남권으로의 인구 집중 현상을 심화하는 데 일조하고 있다. 현재 서울시가 주도하고 있는 ‘잠실 스포츠·마이스(MICE) 복합 공간 조성 민간투자사업’에서부터 ‘영동대로 지하 공간 복합개발	-7	긍정입니다.
"""주차장 넓어지고 커뮤니티 확대""…'리모델링' 잠실더샵루벤 가보니[르포]"	"15일 방문한 송파성지아파트 리모델링 공사 현장. 확장 공사를 끝마친 송파성지아파트 전용면적 106㎡ 세대는 사업 이전의 모습과 비교해 훨씬 넓은 공간을 자랑했다. 시공사인 포스코이앤씨 관계자는 ""수직 증축을 통한"	"""주차장 넓어지고 커뮤니티 확대""…'리모델링' 잠실더샵루벤 가보니[르포] 15일 방문한 송파성지아파트 리모델링 공사 현장. 확장 공사를 끝마친 송파성지아파트 전용면적 106㎡ 세대는 사업 이전의 모습과 비교해 훨씬 넓은 공간을 자랑했다. 시공사인 포스코이앤씨 관계자는 ""수직 증축을 통한"	-6	긍정
‘대출규제 후폭풍’ 거셌나…서울·수도권 집값 상승폭 ‘둔화’	서울 아파트값이 6개월 연속 상승세를 이어갔지만, 상승 폭은 둔화된 것으로 나타났다. 정부의 대출 규제 등이 영향을 미친 것으로 풀이된다. 한국부동산원이 15일 발표한 '9월 전국 주택가격동향 조사'에 따르면, 지난	‘대출규제 후폭풍’ 거셌나…서울·수도권 집값 상승폭 ‘둔화’ 서울 아파트값이 6개월 연속 상승세를 이어갔지만, 상승 폭은 둔화된 것으로 나타났다. 정부의 대출 규제 등이 영향을 미친 것으로 풀이된다. 한국부동산원이 15일 발표한 '9월 전국 주택가격동향 조사'에 따르면, 지난	-6	긍정입니다.
수방사 부지 공공분양에 2만5천여명 몰려…경쟁률 1천148대 1	역대 최고 수준…22가구 모집에 2만5천253명 접수 한국토지주택공사(LH)가 서울 동작구 수방사(수도방위사령부) 부지에 공급하는 공공분양주택 일반공급 본청약에 수요자들이 몰리면서 1천대 1이 넘는 청약경쟁률을 기록	수방사 부지 공공분양에 2만5천여명 몰려…경쟁률 1천148대 1 역대 최고 수준…22가구 모집에 2만5천253명 접수 한국토지주택공사(LH)가 서울 동작구 수방사(수도방위사령부) 부지에 공급하는 공공분양주택 일반공급 본청약에 수요자들이 몰리면서 1천대 1이 넘는 청약경쟁률을 기록	3	긍정
삶의 질 높이는 택지지구… 택지지구 새 아파트 단지에 청약통장 쏠려	택지지구 및 신도시 1순위 경쟁률 38대 1, 민간택지 比 10배 이상 높아 부천아테라자이, 옥길지구 이후 9년 만에 선보이는 부천시 택지지구 아파트 최근 택지지구(신도시 포함)가 수도권 분양시장의 흥행 보증수표로	삶의 질 높이는 택지지구… 택지지구 새 아파트 단지에 청약통장 쏠려 택지지구 및 신도시 1순위 경쟁률 38대 1, 민간택지 比 10배 이상 높아 부천아테라자이, 옥길지구 이후 9년 만에 선보이는 부천시 택지지구 아파트 최근 택지지구(신도시 포함)가 수도권 분양시장의 흥행 보증수표로	-6	긍정입니다.
떼인 전세금을 세금으로 메꾼다고? HUG가 못 받은 금액 봤더니…	주택도시보증공사(HUG)가 보증보험을 통해 대신 갚고 돌려받지 못한 '채권 잔액'이 지난 8월 기준 9조5869억원에 달하는 것으로 집계됐다. 사실상 국민 세금이 전세사기 피해자들에게 지급되고 있는 것이 아니냐는 지	떼인 전세금을 세금으로 메꾼다고? HUG가 못 받은 금액 봤더니… 주택도시보증공사(HUG)가 보증보험을 통해 대신 갚고 돌려받지 못한 '채권 잔액'이 지난 8월 기준 9조5869억원에 달하는 것으로 집계됐다. 사실상 국민 세금이 전세사기 피해자들에게 지급되고 있는 것이 아니냐는 지	-6	부정
나올 때 마다 이슈… 내달 입주 알린 '브라이튼 한남'에 쏠리는 기대감	- '브라이튼 한남' 지난 11일부터 3일간 사전점검 성황리 진행... 11월 중 입주 알려 나올 때 마다 이슈 몰이를 이어가고 있는 국내 리딩 디벨로퍼 신영의 '브라이튼'이 또 한번 시장의 중심에 섰다. 한남동 일	나올 때 마다 이슈… 내달 입주 알린 '브라이튼 한남'에 쏠리는 기대감 - '브라이튼 한남' 지난 11일부터 3일간 사전점검 성황리 진행... 11월 중 입주 알려 나올 때 마다 이슈 몰이를 이어가고 있는 국내 리딩 디벨로퍼 신영의 '브라이튼'이 또 한번 시장의 중심에 섰다. 한남동 일	2	긍정입니다.
3천여 가구 브랜드타운 입성 소식에 “들썩” ‘파주 문산역 3차 동문 디 이스트 센트럴’ 주목	동문건설이 내달 경기도 파주시 문산읍 일원에 조성하는 ‘파주 문산역 3차 동문 디 이스트 센트럴’을 분양한다고 밝혀 관심이 높아지고 있다. 향후 파주 문산역 일대는 동문건설의 약 3,000여 가구 브랜드타운 형성으로	3천여 가구 브랜드타운 입성 소식에 “들썩” ‘파주 문산역 3차 동문 디 이스트 센트럴’ 주목 동문건설이 내달 경기도 파주시 문산읍 일원에 조성하는 ‘파주 문산역 3차 동문 디 이스트 센트럴’을 분양한다고 밝혀 관심이 높아지고 있다. 향후 파주 문산역 일대는 동문건설의 약 3,000여 가구 브랜드타운 형성으로	6	긍정
대출금리 오르자 꽁꽁 언 부동산 시장…부동산 거래량·금액 급락	지난 7월 월간 거래량이 10만 건을 넘어서며 연내 최고치를 보였던 전국 부동산 매매시장이 대출 규제가 시행되자 한 달 새 꽁꽁 얼어붙었다. 8월 들어 거래량·거래금액 모두 전월 대비 두 자릿수 하락률을 기록하면서다	대출금리 오르자 꽁꽁 언 부동산 시장…부동산 거래량·금액 급락 지난 7월 월간 거래량이 10만 건을 넘어서며 연내 최고치를 보였던 전국 부동산 매매시장이 대출 규제가 시행되자 한 달 새 꽁꽁 얼어붙었다. 8월 들어 거래량·거래금액 모두 전월 대비 두 자릿수 하락률을 기록하면서다	2	부정
[단독]HUG의 이상한 국토부 파견…1년 이상 출장비 지원만 3000만원	주택도시보증공사(HUG) 직원이 부적절한 출장비를 받았다는 지적이 제기됐다. 국토교통부에서 파견·위탁 업무를 수행하는 HUG 직원 2명이 700여일간 정식 파견이 아닌 상태로 업무를 수행하며 약 3000만원의 출장비	[단독]HUG의 이상한 국토부 파견…1년 이상 출장비 지원만 3000만원 주택도시보증공사(HUG) 직원이 부적절한 출장비를 받았다는 지적이 제기됐다. 국토교통부에서 파견·위탁 업무를 수행하는 HUG 직원 2명이 700여일간 정식 파견이 아닌 상태로 업무를 수행하며 약 3000만원의 출장비	0	중립
"""기준금리는 내렸는데.."" 내일부터 주담대 금리 오른다"	주택담보대출 변동금리가 내일부터 소폭 증가할 것으로 보인다. 은행연합회에 따르면 15일 주택담보대출 변동금리의 기준인 코픽스(COFIX·자금조달비용지수)는 전월(3.36%) 대비 0.04%포인트 오른 3.40%(9월	"""기준금리는 내렸는데.."" 내일부터 주담대 금리 오른다 주택담보대출 변동금리가 내일부터 소폭 증가할 것으로 보인다. 은행연합회에 따르면 15일 주택담보대출 변동금리의 기준인 코픽스(COFIX·자금조달비용지수)는 전월(3.36%) 대비 0.04%포인트 오른 3.40%(9월"	3	중립
금리 인하로 전망되는 집값 상승세…‘두산위브 더센트럴 부평’ 선점해야	▶ 38개월만에 긴축 종료… 한은 기준금리 3.25%로 0.25%p 인하 ▶ 금리 인하 영향으로 집값 상승 이어질 것으로 보여… 더 오르기 전 내 집 마련 나서야 통화 긴축 시대가 3년여 만에 막을 내리면서, 금리	금리 인하로 전망되는 집값 상승세…‘두산위브 더센트럴 부평’ 선점해야 ▶ 38개월만에 긴축 종료… 한은 기준금리 3.25%로 0.25%p 인하 ▶ 금리 인하 영향으로 집값 상승 이어질 것으로 보여… 더 오르기 전 내 집 마련 나서야 통화 긴축 시대가 3년여 만에 막을 내리면서, 금리	1	긍정
대를 넘어 소유하는 귀한 도심 오피스텔, ‘마포 에피트 어바닉’ 16일(수) 청약 접수	- ‘마포 에피트 어바닉’ 아파트 청약 흥행에 주거형 오피스텔 관심↑ - 10월 16일(수) 오피스텔 청약····22일(화) 당첨자 발표, 27일(일)부터 29일(화)까지 정당계약 서울 도심 한복판에 나오는 귀한 오	대를 넘어 소유하는 귀한 도심 오피스텔, ‘마포 에피트 어바닉’ 16일(수) 청약 접수 - ‘마포 에피트 어바닉’ 아파트 청약 흥행에 주거형 오피스텔 관심↑ - 10월 16일(수) 오피스텔 청약····22일(화) 당첨자 발표, 27일(일)부터 29일(화)까지 정당계약 서울 도심 한복판에 나오는 귀한 오	1	긍정입니다.
"""서울에 더 개발할 땅이 어디있어? 바로 여기"""	시설이 노후화되고 이용자들이 줄어들면서 천덕꾸러기 신세가 된 서울 주요 터미널 부지들이 우수한 교통 인프라를 바탕으로 지역을 대표하는 랜드마크로 변신에 나선다. 서울시가 유휴부지 개발을 적극 추진하는 가운데 주거·편	"""서울에 더 개발할 땅이 어디있어? 바로 여기"" 시설이 노후화되고 이용자들이 줄어들면서 천덕꾸러기 신세가 된 서울 주요 터미널 부지들이 우수한 교통 인프라를 바탕으로 지역을 대표하는 랜드마크로 변신에 나선다. 서울시가 유휴부지 개발을 적극 추진하는 가운데 주거·편"	7	긍정입니다.
혹시 우리 아파트도?…하자 건수 1위 건설사 어디	해당 기사와 관련 없는 사진. 경기일보DB 국토교통부가 공동주택 하자 판정비율 및 건수 상위 20개 건설사의 명단을 15일 공개했다. 국토부는 이날 하자심사분쟁조정위원회(이하 하심위)에 신청된 공동주택 하자 처리 현	혹시 우리 아파트도?…하자 건수 1위 건설사 어디 해당 기사와 관련 없는 사진. 경기일보DB 국토교통부가 공동주택 하자 판정비율 및 건수 상위 20개 건설사의 명단을 15일 공개했다. 국토부는 이날 하자심사분쟁조정위원회(이하 하심위)에 신청된 공동주택 하자 처리 현	-3	긍정입니다.
3년여 만에 전환점 맞이한 기준금리… 부동산 시장 훈풍 불어오나	통화 긴축 시대가 3년여 만에 막을 내리면서, 금리 인하가 소비 확대로 이어질 것으로 전망된다. 특히 고금리, 고물가, 고환율로 인해 불황이 지속됐던 건설업계에 숨통이 트일 것으로 예상되고 있는 가운데, 소비심리 또	3년여 만에 전환점 맞이한 기준금리… 부동산 시장 훈풍 불어오나 통화 긴축 시대가 3년여 만에 막을 내리면서, 금리 인하가 소비 확대로 이어질 것으로 전망된다. 특히 고금리, 고물가, 고환율로 인해 불황이 지속됐던 건설업계에 숨통이 트일 것으로 예상되고 있는 가운데, 소비심리 또	-2	긍정입니다.
대출 규제·거래 감소…9월 아파트 실거래가 잠정지수 하락 전환	'1∼8월 연속상승' 서울 아파트 실거래가지수, 9월엔 잠정 0.47% 하락 전망 전국도 하락 예상…집값 고점인식·대출 규제로 매수심리 한풀 꺾여 서울을 비롯한 전국 아파트 가격 상승 폭이 둔화한 가운데 지난달 실거	대출 규제·거래 감소…9월 아파트 실거래가 잠정지수 하락 전환 '1∼8월 연속상승' 서울 아파트 실거래가지수, 9월엔 잠정 0.47% 하락 전망 전국도 하락 예상…집값 고점인식·대출 규제로 매수심리 한풀 꺾여 서울을 비롯한 전국 아파트 가격 상승 폭이 둔화한 가운데 지난달 실거	-7	긍정
"제주도에 관광 'UAM' 띄운다…""조비 S4 기체, 연내 국내 도입""[일문일답]"	국토교통부가 제주의 자연환경을 활용해 도내 '관광형 도심항공교통(UAM, Urban Air Mobility) 시범사업'을 추진한다. 특히, 올 연말 국내에 미국 조비에비에이션 'S4' 기체를 들여와 UAM 상용화에	"제주도에 관광 'UAM' 띄운다…""조비 S4 기체, 연내 국내 도입""[일문일답] 국토교통부가 제주의 자연환경을 활용해 도내 '관광형 도심항공교통(UAM, Urban Air Mobility) 시범사업'을 추진한다. 특히, 올 연말 국내에 미국 조비에비에이션 'S4' 기체를 들여와 UAM 상용화에"	-3	긍정입니다.
이미지 실추 '자이' 최상급 브랜드 신뢰 되찾는다	GS건설이 주택 브랜드 '자이(Xi)'의 신뢰를 되찾기 위한 혁신 작업에 나섰다. 최근 몇 년 새 주차장 붕괴 사고와 하자 이슈로 자이 이미지가 크게 실추됐다는 판단에서다. 브랜드 쇄신 작업을 위해 지난해 허창수 G	이미지 실추 '자이' 최상급 브랜드 신뢰 되찾는다 GS건설이 주택 브랜드 '자이(Xi)'의 신뢰를 되찾기 위한 혁신 작업에 나섰다. 최근 몇 년 새 주차장 붕괴 사고와 하자 이슈로 자이 이미지가 크게 실추됐다는 판단에서다. 브랜드 쇄신 작업을 위해 지난해 허창수 G	4	긍정입니다.
